M,Only host,Only host + svm,svm + gpu,only gpu
197,25.304688,26.601563,2.802734,2.097656
198,24.738281,26.894531,2.550781,1.455078
199,26.869141,28.091797,2.669922,1.476563
200,24.742188,27.560547,2.703125,1.568359
201,26.058594,28.275391,2.798828,1.525391
202,26.917969,29.023438,2.699219,1.533203
203,27.884766,29.546875,3.027344,1.498047
204,27.578125,30.218750,2.935547,1.525391
205,30.382813,32.431641,2.271484,1.269531
206,29.228516,30.964844,2.310547,1.248047
207,29.841797,31.341797,2.937500,1.480469
208,28.923828,31.044922,3.132813,1.345703
209,29.958984,32.878906,2.550781,1.429688
210,32.281250,33.951172,2.998047,1.556641
211,30.964844,33.826172,2.941406,1.582031
212,31.121094,32.818359,2.976563,1.638672
213,31.820313,35.271484,2.826172,1.414063
214,32.296875,34.105469,2.929688,1.615234
215,33.281250,35.007813,3.083984,1.625000
216,31.517578,33.658203,2.990234,1.503906
217,34.365234,36.015625,2.750000,1.677734
218,34.648438,36.859375,2.654297,1.728516
219,35.783203,37.416016,2.876953,1.623047
220,34.416016,36.556641,2.759766,1.445313
221,35.658203,37.757813,2.992188,2.093750
222,37.181641,38.916016,2.416016,1.378906
223,38.119141,40.689453,2.572266,1.525391
224,38.705078,39.796875,2.634766,1.630859
225,38.515625,40.537109,2.726563,1.710938
226,39.019531,40.517578,2.958984,1.560547
227,38.824219,42.015625,2.910156,1.619141
228,39.125000,40.927734,2.789063,1.669922
229,39.878906,42.623047,2.863281,1.523438
230,40.417969,42.355469,2.943359,1.857422
231,41.542969,54.578125,3.296875,1.857422
232,46.687500,73.984375,2.804688,1.693359
233,45.738281,49.957031,2.144531,1.585938
234,48.072266,54.273438,5.691406,2.501953
235,63.125000,48.640625,3.181641,1.792969
236,46.511719,45.800781,3.138672,1.748047
237,45.292969,56.921875,4.263672,2.365234
238,48.875000,56.261719,2.939453,1.552734
239,49.488281,50.783203,3.076172,1.996094
240,46.955078,49.460938,2.697266,1.748047
241,54.144531,59.990234,2.755859,1.675781
242,49.326172,50.900391,2.908203,1.787109
243,49.726563,52.935547,3.609375,1.902344
244,49.392578,55.173828,3.392578,1.693359
245,53.291016,53.513672,2.884766,1.767578
246,50.574219,51.802734,2.416016,1.570313
247,51.365234,56.136719,4.236328,1.908203
248,51.343750,53.173828,3.074219,1.765625
249,52.843750,55.693359,2.767578,1.699219
250,52.500000,56.726563,3.724609,2.410156
251,57.388672,56.488281,2.943359,1.867188
252,54.287109,56.576172,3.777344,2.197266
253,62.232422,61.212891,4.271484,2.457031
254,57.728516,57.947266,2.658203,2.320313
255,55.689453,58.660156,3.429688,1.951172
256,84.667969,89.273438,3.421875,2.033203
257,57.101563,59.126953,2.970703,2.583984
258,56.330078,58.091797,3.806641,2.156250
259,62.265625,64.621094,3.371094,2.001953
260,59.185547,60.214844,3.230469,1.898438
261,59.099609,61.285156,3.046875,2.074219
262,63.365234,82.396484,3.333984,2.289063
263,61.636719,62.208984,2.984375,2.781250
264,57.904297,65.105469,4.863281,2.083984
265,66.427734,63.394531,2.914063,1.912109
266,62.482422,64.544922,4.050781,2.373047
267,69.468750,65.519531,2.845703,2.369141
268,63.640625,66.923828,4.005859,2.583984
269,70.390625,69.888672,3.630859,2.427734
270,66.748047,67.408203,3.218750,2.156250
271,66.291016,70.039063,4.056641,3.119141
272,74.988281,74.689453,3.242188,2.146484
273,78.980469,79.625000,3.748047,2.292969
274,70.607422,75.312500,3.488281,2.097656
275,71.130859,72.099609,3.921875,2.312500
276,69.337891,72.730469,3.933594,2.292969
277,71.205078,74.007813,3.726563,2.468750
278,71.593750,73.765625,3.568359,2.386719
279,76.193359,76.527344,3.757813,2.222656
