M,Only host,Only host + svm,svm + gpu,only gpu
243,0.000000,0.000000,2.220703,1.697266
244,0.000000,0.000000,2.156250,1.644531
245,0.000000,0.000000,2.175781,1.615234
246,0.000000,0.000000,2.414063,1.626953
247,0.000000,0.000000,2.232422,1.691406
248,0.000000,0.000000,2.162109,1.787109
249,0.000000,0.000000,2.277344,1.732422
250,0.000000,0.000000,2.701172,1.835938
251,0.000000,0.000000,2.412109,1.810547
252,0.000000,0.000000,2.750000,1.810547
253,0.000000,0.000000,2.539063,1.857422
254,0.000000,0.000000,2.564453,1.919922
255,0.000000,0.000000,2.410156,1.855469
256,0.000000,0.000000,2.757813,1.826172
257,0.000000,0.000000,2.445313,2.044922
258,0.000000,0.000000,2.804688,2.046875
259,0.000000,0.000000,2.642578,1.925781
260,0.000000,0.000000,2.488281,1.835938
261,0.000000,0.000000,4.214844,3.009766
262,0.000000,0.000000,3.291016,1.896484
263,0.000000,0.000000,2.521484,2.052734
264,0.000000,0.000000,4.593750,2.519531
265,0.000000,0.000000,3.031250,1.986328
266,0.000000,0.000000,2.875000,2.623047
267,0.000000,0.000000,4.550781,2.361328
268,0.000000,0.000000,2.865234,2.017578
269,0.000000,0.000000,3.064453,2.888672
270,0.000000,0.000000,3.603516,2.291016
271,0.000000,0.000000,3.197266,2.658203
272,0.000000,0.000000,2.972656,3.025391
273,0.000000,0.000000,4.664063,2.281250
274,0.000000,0.000000,3.718750,2.488281
275,0.000000,0.000000,6.347656,2.800781
276,0.000000,0.000000,3.093750,2.162109
277,0.000000,0.000000,3.878906,3.925781
278,0.000000,0.000000,3.265625,2.251953
279,0.000000,0.000000,3.039063,2.544922
280,0.000000,0.000000,4.136719,2.361328
281,0.000000,0.000000,2.736328,2.193359
282,0.000000,0.000000,2.794922,2.667969
283,0.000000,0.000000,3.876953,2.226563
284,0.000000,0.000000,2.871094,2.261719
285,0.000000,0.000000,3.382813,2.746094
286,0.000000,0.000000,3.410156,2.236328
287,0.000000,0.000000,2.880859,2.148438
