M,Only host,Only host + svm,svm + gpu,only gpu
369,0.000000,0.000000,6.267578,6.763672
370,0.000000,0.000000,7.589844,6.943359
371,0.000000,0.000000,6.687500,5.710938
372,0.000000,0.000000,6.152344,5.716797
373,0.000000,0.000000,5.738281,5.697266
374,0.000000,0.000000,6.103516,5.802734
375,0.000000,0.000000,7.388672,6.160156
376,0.000000,0.000000,7.871094,8.193359
377,0.000000,0.000000,6.664063,6.005859
378,0.000000,0.000000,7.656250,7.839844
379,0.000000,0.000000,7.744141,6.144531
380,0.000000,0.000000,7.378906,6.281250
381,0.000000,0.000000,6.466797,6.187500
382,0.000000,0.000000,6.886719,6.324219
383,0.000000,0.000000,7.566406,6.636719
384,0.000000,0.000000,6.929688,7.904297
385,0.000000,0.000000,6.591797,6.845703
386,0.000000,0.000000,7.773438,7.751953
387,0.000000,0.000000,6.701172,6.720703
388,0.000000,0.000000,9.121094,7.900391
389,0.000000,0.000000,7.548828,6.824219
390,0.000000,0.000000,7.832031,7.224609
391,0.000000,0.000000,8.613281,7.001953
392,0.000000,0.000000,7.636719,7.101563
393,0.000000,0.000000,6.720703,6.775391
394,0.000000,0.000000,7.667969,8.962891
395,0.000000,0.000000,8.214844,8.832031
396,0.000000,0.000000,9.626953,7.175781
397,0.000000,0.000000,7.183594,9.480469
398,0.000000,0.000000,8.937500,9.076172
399,0.000000,0.000000,7.187500,7.158203
400,0.000000,0.000000,7.443359,7.853516
401,0.000000,0.000000,8.451172,7.371094
402,0.000000,0.000000,7.425781,7.597656
403,0.000000,0.000000,9.917969,8.591797
404,0.000000,0.000000,9.421875,8.830078
405,0.000000,0.000000,8.306641,7.572266
406,0.000000,0.000000,7.695313,9.183594
407,0.000000,0.000000,8.402344,7.486328
408,0.000000,0.000000,9.566406,7.937500
409,0.000000,0.000000,7.710938,8.068359
410,0.000000,0.000000,8.675781,9.037109
411,0.000000,0.000000,8.798828,9.503906
412,0.000000,0.000000,8.503906,8.625000
413,0.000000,0.000000,8.183594,7.679688
414,0.000000,0.000000,10.074219,8.025391
415,0.000000,0.000000,10.671875,8.033203
416,0.000000,0.000000,10.068359,8.447266
417,0.000000,0.000000,8.058594,8.017578
418,0.000000,0.000000,8.265625,9.292969
419,0.000000,0.000000,9.742188,9.095703
420,0.000000,0.000000,9.402344,9.712891
421,0.000000,0.000000,8.539063,8.992188
422,0.000000,0.000000,10.009766,9.964844
423,0.000000,0.000000,9.291016,9.480469
424,0.000000,0.000000,9.845703,12.111328
425,0.000000,0.000000,9.492188,9.925781
426,0.000000,0.000000,9.962891,11.000000
427,0.000000,0.000000,9.091797,10.689453
428,0.000000,0.000000,9.808594,10.658203
429,0.000000,0.000000,8.931641,11.367188
430,0.000000,0.000000,9.205078,10.832031
431,0.000000,0.000000,9.437500,9.406250
432,0.000000,0.000000,9.759766,9.044922
433,0.000000,0.000000,9.042969,9.187500
434,0.000000,0.000000,9.156250,10.234375
435,0.000000,0.000000,9.650391,9.894531
436,0.000000,0.000000,10.812500,9.650391
437,0.000000,0.000000,9.746094,8.867188
438,0.000000,0.000000,10.037109,9.371094
439,0.000000,0.000000,9.380859,9.080078
440,0.000000,0.000000,9.722656,9.513672
441,0.000000,0.000000,9.419922,9.429688
442,0.000000,0.000000,12.046875,9.828125
443,0.000000,0.000000,10.037109,11.289063
444,0.000000,0.000000,10.433594,10.998047
445,0.000000,0.000000,11.314453,9.488281
446,0.000000,0.000000,11.373047,9.667969
447,0.000000,0.000000,11.351563,10.474609
448,0.000000,0.000000,12.685547,12.490234
449,0.000000,0.000000,11.574219,9.984375
450,0.000000,0.000000,11.007813,11.388672
451,0.000000,0.000000,9.890625,10.222656
452,0.000000,0.000000,11.646484,11.597656
453,0.000000,0.000000,9.988281,11.251953
454,0.000000,0.000000,12.095703,11.751953
455,0.000000,0.000000,11.818359,11.355469
456,0.000000,0.000000,13.447266,14.042969
457,0.000000,0.000000,10.648438,10.960938
458,0.000000,0.000000,10.859375,10.755859
459,0.000000,0.000000,10.542969,10.578125
460,0.000000,0.000000,11.287109,11.160156
461,0.000000,0.000000,13.205078,11.078125
462,0.000000,0.000000,12.240234,12.382813
463,0.000000,0.000000,11.152344,10.908203
464,0.000000,0.000000,11.597656,11.115234
465,0.000000,0.000000,11.738281,12.517578
466,0.000000,0.000000,12.175781,13.349609
467,0.000000,0.000000,11.156250,10.974609
468,0.000000,0.000000,12.888672,12.464844
469,0.000000,0.000000,12.939453,12.988281
470,0.000000,0.000000,11.912109,11.437500
471,0.000000,0.000000,11.511719,12.757813
472,0.000000,0.000000,12.398438,12.431641
473,0.000000,0.000000,12.552734,11.376953
474,0.000000,0.000000,12.259766,12.558594
475,0.000000,0.000000,11.949219,11.968750
476,0.000000,0.000000,12.210938,13.029297
477,0.000000,0.000000,13.187500,13.148438
478,0.000000,0.000000,12.343750,12.751953
479,0.000000,0.000000,12.427734,12.667969
480,0.000000,0.000000,14.904297,14.191406
481,0.000000,0.000000,12.218750,12.511719
482,0.000000,0.000000,12.294922,14.250000
483,0.000000,0.000000,12.720703,14.812500
484,0.000000,0.000000,13.986328,12.609375
485,0.000000,0.000000,12.451172,12.896484
486,0.000000,0.000000,14.716797,12.414063
487,0.000000,0.000000,12.781250,12.650391
488,0.000000,0.000000,14.468750,13.158203
489,0.000000,0.000000,13.064453,13.302734
490,0.000000,0.000000,13.863281,13.878906
491,0.000000,0.000000,12.720703,12.486328
492,0.000000,0.000000,15.677734,13.019531
